douban_score,publisher,douban_votes,name,authors
9.7, 三秦出版社,915,红楼梦,果麦文化
8.6, 重庆出版社,7295,少年巴比伦,路内
9.2, 作家出版社,477,双城记,当当科文
7.4, 长江文艺出版社,20023,幻城,郭敬明
9.4, 岳麓书社,8386,三国演义,罗贯中
7.5, 上海译文出版社,2376,情人,"[法]
            玛格丽特·杜拉斯"
9.1, 人民文学出版社,8372,霸王别姬,李碧华
8.5, 上海译文出版社,4979,乞力马扎罗的雪,"[美]
            欧内斯特·海明威"
7.7, 译林出版社,930,高堡奇人,菲利普·迪克作品（精装）
8.8, 上海译文出版社,617,莫失莫忘,石黑一雄作品
8.5, 上海译文出版社,291,同情者,
9.5, 东方出版中心,839,四世同堂,老舍
9.1, 人民文学出版社,1384,九州·缥缈录,江南
8.9,,1229,残次品,
8.8, 人民文学出版社,5820,夜航西飞,"[英]
            柏瑞尔·马卡姆"
9.2, 江苏文艺出版社,4956,银河帝国3：第二基地,"[美]
            艾萨克·阿西莫夫"
8.4, 译林出版社,12574,小妇人,"[美]
            路易莎·梅·奥尔科特"
7.8, 南海出版公司,12090,红手指,新经典文化
8.3, 江苏凤凰文艺出版社,195,无尽世界,读客
6.8, 江苏文艺出版社,13428,杉杉来吃,顾漫
7.5, 人民文学出版社,6861,青春咖啡馆,"[法]
            帕特里克·莫迪亚诺"
7.8, 江苏凤凰文艺出版社,4844,沙丘,"[美]
            弗兰克·赫伯特"
6.7, 南海出版公司,3498,假面前夜,"[日]
            东野圭吾"
8.9, 游擊文化,16024,房思琪的初戀樂園,Misfits
8.6, 北京理工大学出版社,6336,美丽新世界,"[英]
            阿道司·赫胥黎"
8.7, 南海出版公司,2970,族长的秋天,"[哥伦比亚]
            加西亚·马尔克斯"
7.9, 威向,824,AWM(絕地求生) 上,AWM(絕地求生)
8.2, 上海译文出版社,2559,卡罗尔,"[美]
            帕特里夏·海史密斯"
9.1, 上海译文出版社,2041,不能承受的生命之轻,"[捷克]
            米兰·昆德拉"
